Zoox November 25, 2025 (PDF)	/portal/file/zoox_11252025-pdf/
Waymo November 24, 2025 (2) (PDF)	/portal/file/waymo_11242025_2-pdf/
Waymo November 24, 2025 (1) (PDF)	/portal/file/waymo_11242025_1-pdf/
Waymo November 23, 2025 (PDF)	/portal/file/waymo_11232025-pdf/
Waymo November 20, 2025 (PDF)	/portal/file/waymo_112025-pdf/
Tensor November 18, 2025 (PDF)	/portal/file/tensor_111825-pdf/
Waymo November 12, 2025 (PDF)	/portal/file/waymo_111225-pdf/
Waymo November 11, 2025 (PDF)	/portal/file/waymo_111125-pdf/
Waymo November 10, 2025 (PDF)	/portal/file/waymo_111025-pdf/
Waymo November 6, 2025 (PDF)	/portal/file/waymo_110625-pdf/
Waymo October 30, 2025 (PDF)	/portal/file/waymo_103025-pdf/
Zoox October 23, 2025 (PDF)	/portal/file/zoox_102325-pdf/
Waymo October 22, 2025 (PDF)	/portal/file/waymo_102225-pdf/
Waymo October 20, 2025 (PDF)	/portal/file/waymo_102025-pdf/
Waymo October 17, 2025 (PDF)	/portal/file/waymo_101725-pdf/
Zoox October 15, 2025 (PDF)	/portal/file/zoox_101525-pdf/
Waymo October 15, 2025 (PDF)	/portal/file/waymo_101525_redacted-pdf/
Waymo October 14, 2025 (PDF)	/portal/file/waymo_101425_redacted-pdf/
Waymo October 12, 2025 (PDF)	/portal/file/waymo_101225_redacted-pdf/
Waymo October 11, 2025 (PDF)	/portal/file/waymo_101125_redacted-pdf/
Waymo October 9, 2025 (2) (PDF)	/portal/file/waymo_100925_redacted_2-pdf/
Waymo October 9, 2025 (1) (PDF)	/portal/file/waymo_100925_redacted_1-pdf/
Waymo October 7, 2025 (PDF)	/portal/file/waymo_100725_redacted-pdf/
Waymo October 4, 2025 (PDF)	/portal/file/waymo_100425_redacted-pdf/
Waymo October 3, 2025 (PDF)	/portal/file/waymo_100325_redacted-pdf/
Zoox September 28, 2025 (PDF)	/portal/file/zoox_09282025-pdf/
Waymo September 28, 2025 (PDF)	/portal/file/waymo_09282025-pdf/
Waymo September 26, 2025 (PDF)	/portal/file/waymo_09262025-pdf/
Waymo September 25, 2025 (PDF)	/portal/file/waymo_09252025-pdf/
Waymo September 24, 2025 (PDF)	/portal/file/waymo_09242025-pdf/
Waymo September 23, 2025 (PDF)	/portal/file/waymo_09232025-pdf/
Waymo September 19, 2025 (PDF)	/portal/file/waymo_09192025-pdf/
Zoox September 18, 2025 (PDF)	/portal/file/zoox_091825_redacted-pdf/
Waymo September 11, 2025 (PDF)	/portal/file/waymo_091125_redacted-pdf/
Waymo September 10, 2025 (PDF)	/portal/file/waymo_091025_redacted-pdf/
Zoox September 9, 2025 (PDF)	/portal/file/zoox_090925_redacted-pdf/
Nuro September 2, 2025 (PDF)	/portal/file/nuro_090225_redeacted-pdf/
Waymo September 3, 2025 (PDF)	/portal/file/waymo_09032025-pdf/
Waymo September 1, 2025 (PDF)	/portal/file/waymo_090125_redacted-pdf/
Waymo August 29, 2025 (PDF)	/portal/file/waymo_082925-pdf/
Zoox August 26, 2025 (PDF)	/portal/file/zoox_082625-pdf/
Waymo August 24, 2025 (PDF)	/portal/file/waymo_082425-pdf/
Ohmio August 23, 2025 (PDF)	/portal/file/ohmio_08232025-pdf/
Waymo August 22, 2025 (PDF)	/portal/file/waymo_082225-pdf/
Waymo August 21 2025 (3) (PDF)	/portal/file/waymo_082125-3-pdf/
Waymo August 21, 2025 (2) (PDF)	/portal/file/waymo_082125-2-pdf/
Waymo August 21, 2025 (1) (PDF)	/portal/file/waymo_082125-1-pdf/
Waymo August 10, 2025 (PDF)	/portal/file/waymo_081025_redacted-pdf/
Zoox August 7, 2025 (PDF)	/portal/file/zoox_080725-pdf/
Waymo July 31, 2025 (2) (PDF)	/portal/file/waymo_073125_2-pdf/
Waymo July 31, 2025 (1) (PDF)	/portal/file/waymo_073125_1-pdf/
Nuro July 30, 2025 (PDF)	/portal/file/nuro_073025-pdf/
Waymo July 29, 2025 (PDF)	/portal/file/waymo_072925-pdf/
Zoox July 27, 2025 (PDF)	/portal/file/zoox_072725-pdf/
Waymo July 26, 2025 (PDF)	/portal/file/waymo_072625-pdf/
Waymo July 23, 2025 (PDF)	/portal/file/waymo_072325-pdf/
Waymo July 22, 2025 (PDF)	/portal/file/waymo_072225-pdf/
Waymo July 21, 2025 (PDF)	/portal/file/waymo_07212025-pdf/
Waymo July 20, 2025 (PDF)	/portal/file/waymo_07202025-pdf/
Zoox July 19, 2025 (PDF)	/portal/file/zoox_071925-pdf/
Zoox July 18, 2025 (PDF)	/portal/file/zoox_071825-pdf/
Waymo July 16, 2025 (2) (PDF)	/portal/file/waymo_071625_2-pdf/
Waymo July 16, 2025 (1) (PDF)	/portal/file/waymo_071625_1-pdf/
Zoox July 7, 2025 (PDF)	/portal/file/zoox_070725-pdf/
Waymo July 2, 2025 (PDF)	/portal/file/waymo_07022025-pdf/
Zoox June 26, 2025 (PDF)	/portal/file/zoox_06262025-pdf/
Zoox June 23, 2025 (PDF)	/portal/file/zoox_06232025-pdf/
Waymo June 21, 2025 (PDF)	/portal/file/waymo_06212025-pdf/
Waymo June 20, 2025 (PDF)	/portal/file/waymo_06202025-pdf/
Zoox June 20, 2025 (PDF)	/portal/file/zoox_06202025-pdf/
Zoox June 18, 2025 (PDF)	/portal/file/zoox_06182025-pdf/
Waymo June 17, 2025 (PDF)	/portal/file/waymo_06172025-pdf/
Waymo June 12, 2025 (PDF)	/portal/file/waymo_06122025-pdf/
Zoox June 12, 2025 (PDF)	/portal/file/zoox_06122025-pdf/
Nuro June 10, 2025 (PDF)	/portal/file/nuro_06102025-pdf/
Waymo May 29, 2025 (PDF)	/portal/file/waymo_05292025-pdf/
Zoox May 29, 2025 (PDF)	/portal/file/zoox_05292025-pdf/
Zoox May 21, 2025 (PDF)	/portal/file/zoox_05212025-pdf/
Waymo May 14, 2025 (PDF)	/portal/file/waymo_05142025-pdf/
Zoox May 13, 2025 (PDF)	/portal/file/zoox_05132025-pdf/
Waymo May 10, 2025 (2) (PDF)	/portal/file/waymo_05102025_2-pdf/
Waymo May 10, 2025 (1) (PDF)	/portal/file/waymo_05102025_1-pdf/
Zoox May 10, 2025 (2) (PDF)	/portal/file/zoox_05102025_2-pdf/
Zoox May 10, 2025 (1) (PDF)	/portal/file/zoox_05102025_1-pdf/
Zoox May 08, 2025 (PDF)	/portal/file/zoox_05082025-pdf/
Zoox May 05, 2025 (PDF)	/portal/file/zoox_05052025-pdf/
WeRide Corp May 2, 2025 (PDF)	/portal/file/weride_05022025-pdf/
